publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype, depthtype,evaluationmethod, evaluationstatus, evaluationmode, earthmodel, usedphasecount,usedstationcount,magnitudestationcount, minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
3268665,earthquake,2010-03-01T12:23:36.935Z,2013-07-09T16:00:00.000Z,174.34001,-40.49885,2.716,50.5077,ML,,GROPE,reviewed,,nz1dr,31,28,9,0.440,87,0.25227,0.102
3268660,earthquake,2010-03-01T12:15:19.662Z,2013-07-09T16:00:00.000Z,176.56326,-38.06327,1.9,5,ML,operator assigned,GROPE,reviewed,,nz1dr,8,6,5,0.153,117,0.19952,0.254
3279776,earthquake,2010-03-01T12:12:41.205Z,2013-07-09T16:15:00.000Z,172.81598,-42.44283,2.095,12,ML,operator assigned,GROPE,reviewed,,nz1dr,8,4,4,0.527,136,0.26412,0.2
3268659,earthquake,2010-03-01T12:12:15.402Z,2013-07-09T16:00:00.000Z,176.70621,-40.26987,1.56,12,ML,operator assigned,GROPE,reviewed,,nz1dr,6,4,4,0.054,196,0.19969,0.066
3268657,earthquake,2010-03-01T12:07:15.120Z,2013-07-09T16:00:00.000Z,176.5611,-38.06717,1.817,5,ML,operator assigned,GROPE,reviewed,,nz1dr,11,9,4,0.104,74,0.179,0.24
3268656,earthquake,2010-03-01T12:05:37.584Z,2013-07-09T16:00:00.000Z,176.56296,-38.07307,2.679,5,ML,operator assigned,GROPE,reviewed,,nz1dr,25,21,17,0.101,74,0.16579,0.206
3268654,earthquake,2010-03-01T11:57:28.370Z,2013-07-09T16:00:00.000Z,176.53117,-40.06928,2.222,43.8524,ML,,GROPE,reviewed,,nz1dr,13,10,8,0.070,76,0.17487,0.115
3279768,earthquake,2010-03-01T11:26:48.199Z,2013-07-09T16:15:00.000Z,176.25099,-39.63374,2.042,53.6626,ML,,GROPE,reviewed,,nz1dr,10,6,5,0.093,106,0.07629,0.145
3268642,earthquake,2010-03-01T11:26:05.349Z,2013-07-09T16:00:00.000Z,168.98335,-43.91573,2.266,12,ML,operator assigned,GROPE,reviewed,,nz1dr,8,5,6,0.214,196,0.16047,0.335
3268631,earthquake,2010-03-01T10:52:24.319Z,2013-07-09T16:00:00.000Z,176.54922,-40.03651,2.394,37.6637,ML,,GROPE,reviewed,,nz1dr,15,13,11,0.089,75,0.15798,0.142
